"number","title","pageid","namespace","length","touched"
"243","Ann_Harding","177756","","16429","20171206231657"
"244","Helen_Hayes","177771","","36527","20171211183824"
"245","May_Robson","177792","","26622","20171212053531"
"246","Grace_Moore","177818","","15083","20171207192210"
"247","Miriam_Hopkins","177834","","14584","20171210085906"
"248","Lana_Clarkson","178895","","16348","20171130124945"
"249","Lana_Turner","179105","","76293","20171212010350"
"250","Traci_Lords","179179","","55997","20171211212135"
"251","Lesley_Gore","179664","","31864","20171210164357"
"252","Annie_Potts","180230","","18943","20171206013733"
"253","Missy_Elliott","180519","","58816","20171210193702"
"254","Luise_Rainer","180908","","42031","20171212090406"
"255","Gladys_George","180914","","10423","20171207024333"
"256","Fay_Bainter","180971","","8818","20171207024425"
"257","Margaret_Sullavan","180977","","33360","20171206044114"
"258","Joan_Fontaine","180982","","42467","20171211164947"
"259","Martha_Scott","180984","","14311","20171130124945"
"260","Rosalind_Russell","180997","","26497","20171208011413"
"261","Teresa_Wright","181011","","24362","20171130124956"
"262","Jean_Arthur","181316","","37179","20171130124956"
"263","Gene_Tierney","181349","","41409","20171207025415"
"264","Lee_Remick","181998","","21047","20171207033110"
"265","Florence_Lawrence","182795","","36498","20171130124956"
"266","Marlee_Matlin","182870","","26337","20171207042935"
"267","Kathleen_Turner","182997","","36889","20171209221655"
"268","June_Havoc","183504","","17989","20171201143617"
"269","Gypsy_Rose_Lee","183505","","19948","20171204165333"
"270","Jane_Wyman","183753","","37903","20171207194556"
"271","Loretta_Young","183759","","32341","20171212090407"
"272","Susan_Hayward","183785","","22677","20171201010539"
"273","Erika_Slezak","183813","","10648","20171207050700"
"274","Dorothy_McGuire","183814","","13153","20171202153357"
"275","Jeanne_Crain","183832","","23943","20171212090407"
"276","Fifi_D'Orsay","184463","","5757","20171212090407"
"277","Florence_La_Badie","184469","","21047","20171130124956"
"278","Marie_Prevost","184473","","23533","20171130124956"
"279","Maya_Deren","184631","","36390","20171207202224"
"280","Norah_Jones","184860","","60050","20171207060813"
"281","June_Foray","184918","","46160","20171212144629"
"282","Ellen_Burstyn","186041","","48449","20171212074623"
"283","Gloria_Vanderbilt","186376","","28735","20171130160330"
"284","Judy_Holliday","187074","","18933","20171202060907"
"285","Anne_Baxter","187081","","21435","20171207173758"
"286","Eleanor_Parker","187083","","30986","20171211203212"
"287","Shelley_Winters","187094","","32220","20171211042427"
"288","Shirley_Booth","187098","","31581","20171212000017"
"289","Julie_Harris_(actress)","187109","","26853","20171127140109"
"290","Maggie_McNamara","187638","","15788","20171126055313"
"291","Dorothy_Dandridge","187645","","43496","20171207081753"
"292","Demi_Moore","187807","","59271","20171211171518"
"293","Louise_Brooks","187904","","32563","20171207082805"
"294","Ruby_Keeler","189182","","14975","20171212090407"
"295","Alice_Brady","189229","","11995","20171129230827"
"296","Carroll_Baker","190414","","68076","20171209211232"
"297","Nancy_Kelly","190431","","12499","20171202214604"
"298","Betty_Grable","191127","","31515","20171212090409"
"299","Joanne_Woodward","193843","","25831","20171201010539"
"300","María_Conchita_Alonso","195440","","20990","20171210104544"
"301","Lillian_Gish","197736","","31640","20171212090409"
"302","Bernadette_Peters","199832","","116105","20171211082007"
"303","Lark_Voorhies","201586","","19449","20171130183801"
"304","Mia_Farrow","201949","","65954","20171211233328"
"305","Agnes_Moorehead","202643","","40322","20171206233541"
"306","Diane_Keaton","202664","","78532","20171212035520"
"307","Amanda_Bynes","203421","","28554","20171126014851"
"308","Fairuza_Balk","203864","","13172","20171211182318"
"309","Renée_Zellweger","204352","","66715","20171211121310"
"310","Kim_Basinger","204467","","27906","20171208171749"
"311","Jessica_Lynch","204760","","35857","20171209051827"
"312","Shari_Lewis","205076","","16645","20171212095317"
"313","June_Allyson","205966","","38225","20171212013844"
"314","Piper_Laurie","206713","","25537","20171209024935"
"315","Geraldine_Page","206714","","31197","20171211072300"
"316","Anne_Bancroft","206724","","34909","20171211223724"
"317","Priscilla_Presley","208580","","36870","20171212021539"
"318","Reba_McEntire","209066","","98710","20171212024808"
"319","Patricia_Neal","210214","","26713","20171210021246"
"320","Kim_Stanley","210236","","22028","20171212095317"
"321","Teri_Hatcher","210318","","30746","20171210143929"
"322","Bette_Midler","210359","","68678","20171210133104"
"323","Dorothy_Dickson","210592","","2813","20171204144744"
"324","Edie_Falco","210837","","27696","20171211194959"
"325","Gail_Russell","211592","","10967","20171212095317"
"326","Amanda_Bearse","212541","","6188","20171207010819"
"327","Katey_Sagal","212607","","33856","20171209043234"
"328","Emma_Caulfield","213736","","12524","20171206153656"
"329","Elizabeth_Hartman","214304","","11742","20171130213718"
"330","Dorothy_Frooks","214812","","4138","20171130213718"
"331","Josephine_Hull","215193","","10569","20171209060124"
"332","Pink_(singer)","215566","","95484","20171211051127"
"333","LeAnn_Rimes","215642","","84014","20171212095317"
"334","Da_Brat","215764","","14173","20171208221752"
"335","Ashanti_(singer)","215829","","40658","20171207075731"
"336","Eva_Marie_Saint","216314","","24789","20171212095319"
"337","Monica_(singer)","216994","","43015","20171209153309"
"338","Eve_(rapper)","217184","","38431","20171207180110"
"339","Bea_Arthur","217201","","48475","20171207210920"
"340","Dyan_Cannon","217685","","12359","20171212052531"
"341","Geena_Davis","217702","","28870","20171212075152"
"342","Joan_Cusack","217724","","18932","20171212052511"
"343","Antoinette_Perry","217761","","4950","20171126184217"
"344","Christina_Ricci","217790","","38328","20171211073456"
"345","Jane_Alexander","217809","","24409","20171125013017"
"346","Ali_MacGraw","217811","","18134","20171209162151"
"347","Carrie_Snodgress","217821","","11580","20171204001146"
"348","Jaci_Velasquez","218377","","16048","20171209163751"
"349","Jane_Powell","218585","","30411","20171211162957"
"350","Kate_Hudson","219349","","28015","20171211013212"
"351","Marion_Davies","219357","","39627","20171210003358"
"352","Marisa_Tomei","219358","","44294","20171211073544"
"353","Chloë_Sevigny","219361","","84771","20171211071352"
"354","Amber_Benson","220250","","21564","20171209175623"
"355","Dorothy_Gish","223925","","17785","20171212035537"
"356","Claire_Danes","224484","","48967","20171209203151"
"357","Cicely_Tyson","225467","","34501","20171211094237"
"358","Marsha_Mason","225468","","17600","20171209211307"
"359","Jennie_Garth","225482","","22659","20171208025412"
"360","Diahann_Carroll","225483","","21155","20171209211354"
"361","Gabrielle_Carteris","225488","","13599","20171209065837"
"362","Valerie_Perrine","225489","","8520","20171211073050"
"363","Gena_Rowlands","225494","","23163","20171212095319"
"364","Louise_Fletcher","225497","","17555","20171201012804"
"365","Ann-Margret","225502","","44469","20171125235642"
"366","Talia_Shire","225541","","9872","20171201005654"
"367","Carol_Channing","225543","","41478","20171211220654"
"368","Jill_Clayburgh","225561","","16650","20171202021146"
"369","Evelyn_Nesbit","225603","","62220","20171207131257"
"370","Dorothy_Lamour","225860","","25746","20171209213211"
"371","Rene_Russo","226564","","20694","20171209215211"
"372","Freda_Payne","228091","","21968","20171201012804"
"373","Tallulah_Bankhead","229818","","69255","20171210161541"
"374","Janet_Leigh","230664","","29731","20171204085828"
"375","Natacha_Rambova","230910","","64351","20171212133519"
"376","Debra_Monk","233415","","10598","20171209035234"
"377","Maureen_O'Hara","235309","","116816","20171211152305"
"378","Anjelica_Huston","235312","","33796","20171211070136"
"379","Elizabeth_Berkley","235473","","34197","20171209051155"
"380","Jada_Pinkett_Smith","235916","","39423","20171211101122"
"381","Farrah_Fawcett","235959","","66702","20171209052313"
"382","Eliza_Dushku","236447","","41961","20171212133519"
"383","Tyra_Banks","236613","","40816","20171211053125"
"384","Pamela_Sue_Martin","236752","","6585","20171202170338"
"385","Gloria_Foster","237438","","15620","20171212040253"
"386","Diane_Ladd","239664","","16129","20171212012047"
"387","Sally_Field","240361","","44396","20171211181303"
"388","Anne_Meara","240945","","21852","20171210172338"
"389","Rebecca_Romijn","242319","","20989","20171211070511"
"390","Debra_Winger","242530","","28314","20171209224644"
"391","Theda_Bara","242794","","26022","20171212133523"
"392","Lara_Flynn_Boyle","243368","","14433","20171209114409"
"393","Julianne_Moore","243685","","113030","20171212142615"
"394","Joan_Blondell","244831","","30000","20171212013945"
"395","Clara_Peller","246283","","9803","20171209133327"
"396","Gina_Gershon","249621","","25177","20171212133523"
"397","Carol_Burnett","249662","","108222","20171212054816"
"398","Melanie_Chartoff","249733","","8255","20171201114049"
"399","Ricki_Lake","250943","","27856","20171209173103"
"400","Maggie_Lawson","250966","","9784","20171210202403"
"401","ZaSu_Pitts","254518","","27272","20171212153402"
"402","Rachel_True","254735","","7071","20171201114059"
"403","Rosalind_Chao","254965","","14744","20171209204312"
"404","Robin_Tunney","255380","","12609","20171201114059"
"405","Michelle_Trachtenberg","256004","","22889","20171209212449"
"406","Marcheline_Bertrand","261011","","15866","20171209231210"
"407","Selma_Blair","261017","","85421","20171207045316"
"408","Kelly_Rowland","261035","","88168","20171211204431"
"409","Lauren_Bacall","261087","","69552","20171210180823"
"410","Kim_Novak","261259","","62991","20171211175907"
"411","Ione_Skye","261382","","11497","20171209235105"
"412","Mary_Elizabeth_Mastrantonio","261405","","11461","20171202153437"
"413","Lena_Horne","263994","","45095","20171208194530"
"414","Sophie_Tucker","264719","","23191","20171201144344"
"415","Christie_Brinkley","265415","","42921","20171211004147"
"416","Caitlin_Wachs","265712","","5001","20171209042616"
"417","Mary_Garden","265877","","20868","20171203142747"
"418","Joan_Rivers","265883","","114383","20171210191303"
"419","Chloe_Webb","266012","","9772","20171211072300"
"420","Jena_Malone","268138","","27797","20171211052414"
"421","Lupe_Vélez","269046","","50621","20171212153403"
"422","Frances_McDormand","275355","","14995","20171211143302"
"423","Kristin_Davis","276244","","19519","20171205014551"
"424","Heidi_Klum","276356","","50608","20171212153408"
"425","Erika_Eleniak","276359","","11261","20171201144344"
"426","Portia_de_Rossi","276392","","28798","20171209203215"
"427","Courtney_Thorne-Smith","276395","","10228","20171209084107"
"428","Kathy_Ireland","276471","","40568","20171212153408"
"429","Amanda_Winn-Lee","277136","","9401","20171209090702"
"430","Kate_Jackson","277318","","24630","20171207012409"
